iter	MultiClass
0	1.848159161
1	1.606738086
2	1.438823703
3	1.295682312
4	1.186803472
5	1.09373913
6	1.006853018
7	0.9348793966
8	0.8744879051
9	0.8183805153
10	0.7693735877
11	0.72700786
12	0.6890449439
13	0.6529724355
14	0.6195959218
15	0.5896673855
16	0.5614134312
17	0.5352155959
18	0.511023485
19	0.4887387549
20	0.4689440631
21	0.4495025998
22	0.4321565254
23	0.4162049077
24	0.4020755457
25	0.3885347453
26	0.3756260455
27	0.3641510457
28	0.3533760629
29	0.3422616121
30	0.3324548011
31	0.3222401815
32	0.3135879224
33	0.3063203098
34	0.2994385422
35	0.2919945993
36	0.2846962948
37	0.2786737832
38	0.2716806525
39	0.2654329159
40	0.2595763741
41	0.2537894707
42	0.2483006704
43	0.2427655211
44	0.2383187085
45	0.2336706379
46	0.2295770243
47	0.224829359
48	0.2206654566
49	0.2169149169
50	0.2132078441
51	0.2099768056
52	0.2065172394
53	0.2035430696
54	0.2000784881
55	0.197426688
56	0.1950759841
57	0.1915058763
58	0.1885634423
59	0.185659938
60	0.1832318757
61	0.1807056511
62	0.1785144627
63	0.1758572232
64	0.17397639
65	0.1718897346
66	0.1705305932
67	0.1685139282
68	0.1668103042
69	0.1653766185
70	0.1625268295
71	0.1605542409
72	0.1588873899
73	0.1566740232
74	0.1547309275
75	0.152871918
76	0.1510565592
77	0.1490485552
78	0.1475383235
79	0.1459321908
80	0.144317376
81	0.1434520883
82	0.1423083017
83	0.1405516845
84	0.1386880043
85	0.1372045031
86	0.1356278305
87	0.1344806482
88	0.1334645651
89	0.131908183
90	0.1304242131
91	0.1288856721
92	0.1276939913
93	0.126780226
94	0.124997286
95	0.1238893622
96	0.1228934519
97	0.1219681555
98	0.1207053128
99	0.1196762152
100	0.118479574
101	0.1168677872
102	0.1157113155
103	0.1146105158
104	0.113503951
105	0.1124478662
106	0.1116497277
107	0.1105234856
108	0.1095100577
109	0.1091044303
110	0.1080555038
111	0.1072712637
112	0.1067046343
113	0.1060001931
114	0.1051501312
115	0.1042611609
116	0.1035177517
117	0.1029364269
118	0.1021114434
119	0.1012306756
120	0.1005687104
121	0.09975550968
122	0.09896152057
123	0.09854254375
124	0.0977063084
125	0.09706233481
126	0.0964516548
127	0.09552633661
128	0.09478708211
129	0.0941872478
130	0.09333233613
131	0.09269114945
132	0.09209085684
133	0.09151896713
134	0.09120859771
135	0.09064479863
136	0.09023983872
137	0.08960982094
138	0.08878156165
139	0.08807165502
140	0.08747726982
141	0.08693393499
142	0.08639939088
143	0.08565796159
144	0.08516064421
145	0.08475435056
146	0.08430430413
147	0.08360804792
148	0.08294789922
149	0.08243798887
150	0.08191720541
151	0.08113642315
152	0.08071964709
153	0.08008959715
154	0.07960060437
155	0.07913200162
156	0.0784443459
157	0.07809244808
158	0.07754448715
159	0.07693033082
160	0.07640009
161	0.07593773639
162	0.07536209945
163	0.07473950664
164	0.07429657895
165	0.07387602037
166	0.07362709722
167	0.07338724545
168	0.07285253083
169	0.07259730224
170	0.07205775914
171	0.07166592807
172	0.07125070379
173	0.07060488948
174	0.07019314283
175	0.06971232797
176	0.06923428564
177	0.0688589959
178	0.06828449237
179	0.06786382168
180	0.06743347236
181	0.06705691619
182	0.06671496597
183	0.06627077903
184	0.06607173237
185	0.06558917925
186	0.06518913676
187	0.0648784607
188	0.06452212421
189	0.06406899208
190	0.06364790424
191	0.06302221128
192	0.0627153281
193	0.06241195118
194	0.06212408206
195	0.061750382
196	0.0614223847
197	0.06120034129
198	0.06090918982
199	0.060469079
200	0.0602702247
201	0.0597108116
202	0.05940879277
203	0.05914527582
204	0.05870049664
205	0.05833108601
206	0.05809673507
207	0.05763204417
208	0.05733714643
209	0.05708047286
210	0.05671439074
211	0.05647541887
212	0.05620404051
213	0.05595692347
214	0.05566609092
215	0.0552980849
216	0.05492344652
217	0.05467627319
218	0.05442424133
219	0.05425665113
220	0.05397833622
221	0.05371309037
222	0.05344141554
223	0.0532833074
224	0.0530340243
225	0.05290651671
226	0.05262440791
227	0.05228934506
228	0.05209443581
229	0.05185241412
230	0.05171254333
231	0.05149698877
232	0.05116936236
233	0.05098119046
234	0.0508565613
235	0.05048831272
236	0.05031053094
237	0.04999191498
238	0.04974305504
239	0.04947623188
240	0.04922642407
241	0.04898005444
242	0.048759593
243	0.04858066994
244	0.04837591982
245	0.04814102837
246	0.04779915632
247	0.04760281726
248	0.0474157939
249	0.04719138146
250	0.04694880732
251	0.04674553832
252	0.04653031134
253	0.04636925434
254	0.04611589731
255	0.04586658415
256	0.0456691641
257	0.04557089487
258	0.04543298173
259	0.04513903297
260	0.04491279668
261	0.04464695763
262	0.04457108797
263	0.04438814197
264	0.04427814611
265	0.04410904945
266	0.04388383301
267	0.04351245678
268	0.04337221448
269	0.04316314187
270	0.04305675266
271	0.04276522299
272	0.04251566698
273	0.04229828319
274	0.04215478795
275	0.04192616866
276	0.041730786
277	0.04159520666
278	0.04141044972
279	0.04122294451
280	0.04101447827
281	0.04087999811
282	0.04074395051
283	0.04061901837
284	0.04042979229
285	0.04024533202
286	0.04002843322
287	0.03988190051
288	0.03965128762
289	0.03948543572
290	0.03924771181
291	0.0390658634
292	0.03888445872
293	0.03876778693
294	0.03863180332
295	0.03842321956
296	0.03819072466
297	0.03799425146
298	0.03780569638
299	0.03762340585
300	0.03745784518
301	0.03725648434
302	0.03710497166
303	0.03695945631
304	0.03680137358
305	0.03668709083
306	0.03648399309
307	0.03628445719
308	0.03614833218
309	0.03598948971
310	0.03587619472
311	0.03569080899
312	0.03546447339
313	0.03534343145
314	0.03519220428
315	0.03506945042
316	0.03489935062
317	0.03476158803
318	0.03464736508
319	0.03449659912
320	0.03431397853
321	0.03409608341
322	0.03398108094
323	0.03373664518
324	0.03362795472
325	0.03349152872
326	0.03336659461
327	0.03322586166
328	0.03305015776
329	0.03287875222
330	0.03279380076
331	0.03269357072
332	0.03249469266
333	0.03239237457
334	0.032278298
335	0.03217310728
336	0.03200441734
337	0.0318023398
338	0.03168209383
339	0.03155755344
340	0.03145736927
341	0.03133521518
342	0.03124426165
343	0.03110129007
344	0.03099089404
345	0.03088409985
346	0.03077548863
347	0.03065551022
348	0.03053295755
349	0.03046015587
350	0.03027841447
351	0.03008704223
352	0.02996887106
353	0.02983692629
354	0.02972169047
355	0.02955590273
356	0.02945513629
357	0.02932100862
358	0.02922406875
359	0.02913478256
360	0.0290260863
361	0.02893114579
362	0.02881852928
363	0.02868897898
364	0.02863082063
365	0.02848972408
366	0.02834502774
367	0.02825141822
368	0.02811680694
369	0.02803324758
370	0.02789651975
371	0.02782220692
372	0.0276538516
373	0.02757209662
374	0.02745648932
375	0.02735470639
376	0.02724426839
377	0.02707554606
378	0.02698452367
379	0.02690899707
380	0.0268093378
381	0.02670661676
382	0.02659326115
383	0.02652902969
384	0.02644456633
385	0.02636023209
386	0.02629637954
387	0.0262186185
388	0.02612561328
389	0.02603263454
390	0.02594012773
391	0.02579570078
392	0.02573725216
393	0.02565480172
394	0.02560580446
395	0.02553126308
396	0.02544807737
397	0.02532615694
398	0.02525833222
399	0.02518918547
400	0.02512891204
401	0.02505636409
402	0.02500315341
403	0.02493266625
404	0.02483619451
405	0.02476628013
406	0.02471555621
407	0.02468145401
408	0.0246267822
409	0.02453278223
410	0.02444588526
411	0.02437063872
412	0.02428604788
413	0.02423020871
414	0.02413538412
415	0.02407846584
416	0.02399028705
417	0.02388425461
418	0.02383517834
419	0.02375653908
420	0.02368509895
421	0.02357623944
422	0.02350729274
423	0.0234060393
424	0.0233585789
425	0.02324517926
426	0.02318443191
427	0.02313695282
428	0.02309914891
429	0.02306030775
430	0.02298221119
431	0.02288007519
432	0.02280446557
433	0.02274841784
434	0.02267748935
435	0.02259809922
436	0.02252640397
437	0.02243788026
438	0.02235083586
439	0.0223117454
440	0.0222578644
441	0.02214308367
442	0.0220512769
443	0.02198253514
444	0.02193573703
445	0.02189889056
446	0.02184998409
447	0.02176986867
448	0.02169124669
449	0.02165516824
450	0.02158752237
451	0.02152898855
452	0.02147854873
453	0.02140898732
454	0.02136630091
455	0.02124732669
456	0.02115540546
457	0.02112249439
458	0.02106845731
459	0.02098627157
460	0.02093646507
461	0.02090945412
462	0.02084155713
463	0.02081804799
464	0.02076359921
465	0.02067825463
466	0.02064380959
467	0.02058673465
468	0.02053546092
469	0.02048297649
470	0.02044870027
471	0.02040419847
472	0.02032735348
473	0.02025248675
474	0.02020475436
475	0.02014420863
476	0.02009972995
477	0.02001407607
478	0.01993764873
479	0.01988220925
480	0.01984036491
481	0.01978757385
482	0.01972907803
483	0.01970124485
484	0.01966685238
485	0.01960634371
486	0.0195557775
487	0.01951333162
488	0.01942312514
489	0.019384798
490	0.01930361798
491	0.01924168298
492	0.01918629705
493	0.01911354137
494	0.01907077505
495	0.01901472686
496	0.01893586132
497	0.01887173201
498	0.0187838376
499	0.01873051185
500	0.01868557436
501	0.01862836806
502	0.01858934706
503	0.01850824157
504	0.01846502635
505	0.01844579087
506	0.01838269707
507	0.01832909287
508	0.01827288353
509	0.01826019864
510	0.01820662813
511	0.01815206908
512	0.0180880671
513	0.01806078252
514	0.01798941661
515	0.01793816715
516	0.01789465414
517	0.01784225666
518	0.01780451809
519	0.01774878769
520	0.01770275589
521	0.01766529719
522	0.01761012232
523	0.01752313674
524	0.01746958511
525	0.01742494298
526	0.01738199825
527	0.01733411883
528	0.0172863742
529	0.01725700924
530	0.01721091432
531	0.01717451327
532	0.01712240736
533	0.01706533375
534	0.01699112107
535	0.01692534378
536	0.01688797299
537	0.0168513388
538	0.01681872464
539	0.0167657864
540	0.01670919101
541	0.01664473961
542	0.01660776055
543	0.01657725588
544	0.01652693097
545	0.0164900915
546	0.01646290784
547	0.01640151418
548	0.01634155131
549	0.01629443482
550	0.01624667203
551	0.01622224573
552	0.01616651062
553	0.0161338176
554	0.01607548854
555	0.01604535379
556	0.01599878806
557	0.01595426281
558	0.01591616406
559	0.01587028454
560	0.01582931083
561	0.01578756331
562	0.01576585985
563	0.01573002262
564	0.01569283309
565	0.01563580666
566	0.01559402828
567	0.0155603276
568	0.01553824061
569	0.01550215193
570	0.01545384223
571	0.01540970907
572	0.01536807007
573	0.015319735
574	0.01528921672
575	0.01527013465
576	0.01525024536
577	0.01522327481
578	0.01519681147
579	0.0151681268
580	0.01513889036
581	0.01510875285
582	0.01506109474
583	0.0150260599
584	0.01498822521
585	0.01494167254
586	0.01490832431
587	0.01488117491
588	0.0148355098
589	0.01480454665
590	0.0147578332
591	0.01472262069
592	0.01468959584
593	0.01464548146
594	0.01460248531
595	0.01455077628
596	0.01451489315
597	0.01448518074
598	0.01444826423
599	0.01441080665
600	0.01437061415
601	0.01432632906
602	0.01428196216
603	0.0142528228
604	0.0142349736
605	0.01419152873
606	0.01416954972
607	0.0141310157
608	0.01410405892
609	0.01406329766
610	0.01401848137
611	0.0139816068
612	0.01394092517
613	0.01389829321
614	0.01384827232
615	0.0138222223
616	0.01377373647
617	0.01375329317
618	0.01372241945
619	0.01368831274
620	0.01366315763
621	0.01362557477
622	0.01361140397
623	0.01358171819
624	0.01355646605
625	0.01352249286
626	0.01350338319
627	0.01345249867
628	0.01341712502
629	0.01338218661
630	0.01333860104
631	0.01330260656
632	0.01328689185
633	0.01326104512
634	0.01324445624
635	0.01322183689
636	0.01320363398
637	0.01318942182
638	0.01316763604
639	0.01313971971
640	0.01309808858
641	0.01306016896
642	0.01302186489
643	0.01298850999
644	0.01296288944
645	0.01293716376
646	0.01291295013
647	0.01287412578
648	0.01285611178
649	0.01282922087
650	0.01280471993
651	0.0127773824
652	0.01274021815
653	0.01271734289
654	0.01268206765
655	0.01266475268
656	0.0126495705
657	0.01261146483
658	0.01257117629
659	0.01254784225
660	0.01251834561
661	0.01248082815
662	0.01245133654
663	0.01243071142
664	0.01239610317
665	0.01237744768
666	0.01235215746
667	0.01233431876
668	0.01231336282
669	0.01228742253
670	0.01226993382
671	0.01224201567
672	0.01221835577
673	0.01219528656
674	0.01216659072
675	0.01213482928
676	0.01211049511
677	0.01208299285
678	0.01205586595
679	0.01203137227
680	0.01200668653
681	0.011983098
682	0.01196258499
683	0.01195025621
684	0.01192760666
685	0.01190808153
686	0.01187535355
687	0.01185680349
688	0.01182723872
689	0.01179811498
690	0.01176810211
691	0.01174517429
692	0.0117108167
693	0.01168713897
694	0.01165773149
695	0.01162522114
696	0.01160343587
697	0.01158507999
698	0.01155338549
699	0.01153866178
700	0.01150496674
701	0.01148801845
702	0.01146604354
703	0.01144630197
704	0.01143300008
705	0.01141379247
706	0.01139328325
707	0.0113807333
708	0.01135443653
