iter	Passed	Remaining
0	11449	11438444
1	22287	11121474
2	32966	10955913
3	43674	10875066
4	54428	10831293
5	64951	10760263
6	75535	10715303
7	83232	10320795
8	89947	9904273
9	96887	9591879
10	103724	9325801
11	110147	9068822
12	116375	8835591
13	122782	8647422
14	128943	8467279
15	135155	8312056
16	141396	8176024
17	148073	8078252
18	154451	7974576
19	161010	7889522
20	167454	7806561
21	173956	7733175
22	180444	7664965
23	186952	7602744
24	193454	7544717
25	199864	7487225
26	206379	7437294
27	213069	7396569
28	219484	7348961
29	225941	7305426
30	232276	7260501
31	238858	7225481
32	245116	7182642
33	251413	7143089
34	257735	7106138
35	264246	7075933
36	270701	7045566
37	277438	7023586
38	283989	6997795
39	291425	6994214
40	298685	6986324
41	306053	6980935
42	313096	6968213
43	320643	6966718
44	327781	6956251
45	335140	6950523
46	342712	6949033
47	349738	6936470
48	357048	6929655
49	363653	6909417
50	370255	6889647
51	376110	6856785
52	381996	6825484
53	387832	6794252
54	393887	6767708
55	400831	6756873
56	407339	6738965
57	413763	6720095
58	420140	6700880
59	426676	6684600
60	433554	6673892
61	440413	6663033
62	447237	6651775
63	454190	6642530
64	460801	6628453
65	467615	6617461
66	473905	6599309
67	480761	6589261
68	487557	6578492
69	494038	6563648
70	500468	6548378
71	506972	6534310
72	513486	6520574
73	519849	6505143
74	526402	6492298
75	532837	6478187
76	540117	6474397
77	546719	6462501
78	552738	6443956
79	559635	6435810
80	566207	6424012
81	573085	6415763
82	579823	6405998
83	586784	6398740
84	593683	6390825
85	601028	6387673
86	607609	6376410
87	613624	6359383
88	620198	6348319
89	626181	6331394
90	632398	6317034
91	639108	6307723
92	645733	6297633
93	652194	6286043
94	658766	6275622
95	665257	6264510
96	674454	6278684
97	682061	6277749
98	689710	6277062
99	697157	6274420
100	705269	6277595
101	713317	6279988
102	720281	6272745
103	726676	6260595
104	733066	6248517
105	739219	6234550
106	745200	6219288
107	751580	6207494
108	758231	6198024
109	764862	6188436
110	770833	6173615
111	777057	6160958
112	782934	6145689
113	789075	6132637
114	795117	6118944
115	801624	6108932
116	808123	6098912
117	814386	6087190
118	821030	6078386
119	827545	6068667
120	833930	6058059
121	840377	6047965
122	846436	6035157
123	852585	6023104
124	858786	6011507
125	865268	6001942
126	871165	5988402
127	877576	5978488
128	886114	5982991
129	893137	5977150
130	900434	5973111
131	907131	5965077
132	913926	5957702
133	920636	5949783
134	926913	5939114
135	933658	5931477
136	940152	5922275
137	946403	5911593
138	952420	5899523
139	958137	5885701
140	964026	5873043
141	969938	5860615
142	975830	5848161
143	981690	5835606
144	987527	5823009
145	993599	5811876
146	1000426	5805198
147	1007166	5798014
148	1013718	5789761
149	1020336	5781908
150	1026708	5772683
151	1033541	5766074
152	1040064	5757742
153	1047094	5752220
154	1053638	5744031
155	1060197	5735938
156	1067068	5729545
157	1074449	5725863
158	1081330	5719490
159	1088439	5714305
160	1095868	5710767
161	1103627	5708890
162	1111448	5707254
163	1118906	5703692
164	1126332	5699924
165	1133924	5696946
166	1142568	5699158
167	1151160	5700986
168	1159334	5700630
169	1166150	5693559
170	1172667	5685037
171	1179081	5676043
172	1185858	5668813
173	1192591	5661384
174	1198918	5652044
175	1205440	5643651
176	1212044	5635665
177	1218547	5627224
178	1224915	5618189
179	1231460	5609986
180	1237851	5601105
181	1244446	5593170
182	1250860	5584443
183	1257053	5574761
184	1263177	5564810
185	1269500	5555768
186	1275980	5547446
187	1282266	5538299
188	1288453	5528759
189	1294990	5520750
190	1301697	5513470
191	1308292	5505732
192	1314796	5497622
193	1321460	5490191
194	1327820	5481516
195	1334755	5475222
196	1341463	5467994
197	1349262	5465196
198	1357138	5462652
199	1364949	5459797
200	1372723	5456748
201	1381336	5456963
202	1389597	5455711
203	1396334	5448443
204	1403451	5442655
205	1411007	5438543
206	1419945	5439693
207	1427541	5435637
208	1435629	5433409
209	1442933	5428178
210	1449963	5421902
211	1457049	5415825
212	1464031	5409357
213	1471230	5403679
214	1478177	5397067
215	1485376	5391364
216	1492416	5385078
217	1499573	5379204
218	1506047	5370880
219	1512196	5361422
220	1518351	5352016
221	1524401	5342273
222	1530511	5332769
223	1536473	5322782
224	1542729	5313847
225	1548898	5304633
226	1555217	5295959
227	1561596	5287511
228	1567698	5278146
229	1573906	5269166
230	1580108	5260186
231	1586288	5251162
232	1592624	5242673
233	1598933	5234114
234	1605059	5224979
235	1611453	5216738
236	1617536	5207510
237	1623908	5199237
238	1630091	5190375
239	1636243	5181437
240	1642521	5172918
241	1648753	5164277
242	1654930	5155483
243	1661321	5147374
244	1667552	5138784
245	1674008	5130903
246	1680469	5123052
247	1686439	5113719
248	1692276	5104015
249	1698368	5095105
250	1704633	5086733
251	1711382	5079816
252	1718154	5072969
253	1724762	5065642
254	1731602	5058996
255	1738380	5052168
256	1745143	5045298
257	1751698	5037830
258	1758288	5030471
259	1765011	5023493
260	1771686	5016384
261	1778660	5010118
262	1785214	5002672
263	1791860	4995489
264	1798515	4988334
265	1805421	4981878
